Set	Size	Count	z-score	Adj. z-score	Adj. p-value	Adj. q-value	List of genes
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	25	6.48947	6.54744	2.92675e-11	3.64965e-08	HHEX(6.67158); HNF1A(4.45469); HNF1B(3.98291); SLC2A2(1.63646); MNX1(1.35428); ONECUT1(1.30231); GCK(1.25049); PDX1(1.17129); IAPP(1.15818); PAX4(1.09287); NEUROG3(1.081); HNF4A(1.0316); NR5A2(0.879316); INS(0.84002); FOXA3(0.760442); PKLR(0.346418); BHLHA15(-0.00845378); PAX6(-0.106231); HES1(-0.164501); FOXA2(-0.312552); NKX2-2(-0.436052); MAFA(-0.575724); HNF4G(-0.606358); NEUROD1(-0.606445); NKX6-1(-1.02104); 
KEGG_ALLOGRAFT_REJECTION	38	35	5.64551	5.57299	1.25205e-08	7.80655e-06	HLA-DRB1(4.31249); HLA-DQA1(4.05141); TNF(3.33523); HLA-DRA(3.24383); HLA-B(2.80766); HLA-C(2.24317); IL2(1.5333); HLA-DQA2(1.53103); HLA-E(1.46025); IL5(0.817658); HLA-DQB1(0.708976); HLA-DMA(0.649646); HLA-DMB(0.645202); HLA-G(0.458157); HLA-A(0.444104); HLA-F(0.426953); HLA-DOB(0.31108); IL4(0.289637); HLA-DRB4(0.245085); HLA-DRB3(0.191903); CD80(0.161864); HLA-DOA(0.0128029); PRF1(-0.0268675); HLA-DPA1(-0.071606); CD28(-0.11863); FASLG(-0.18886); GZMB(-0.249159); CD40(-0.260873); FAS(-0.431352); IFNG(-0.446851); IL10(-0.489542); HLA-DPB1(-0.50565); IL12A(-0.545537); IL12B(-0.627472); CD86(-0.669894); 
KEGG_TYPE_I_DIABETES_MELLITUS	44	42	5.7541	5.38467	3.62888e-08	1.5084e-05	HLA-DRB1(4.31249); HLA-DQA1(4.05141); LTA(3.33958); TNF(3.33523); HLA-DRA(3.24383); HLA-B(2.80766); HLA-C(2.24317); IL2(1.5333); HLA-DQA2(1.53103); HLA-E(1.46025); INS(0.84002); HLA-DQB1(0.708976); HLA-DMA(0.649646); HLA-DMB(0.645202); HLA-G(0.458157); HLA-A(0.444104); HLA-F(0.426953); HLA-DOB(0.31108); HLA-DRB4(0.245085); HLA-DRB3(0.191903); CD80(0.161864); GAD2(0.14578); ICA1(0.0546755); HLA-DOA(0.0128029); PRF1(-0.0268675); HLA-DPA1(-0.071606); GAD1(-0.0909558); CD28(-0.11863); CPE(-0.143614); PTPRN2(-0.162492); FASLG(-0.18886); IL1A(-0.232087); GZMB(-0.249159); FAS(-0.431352); IFNG(-0.446851); IL1B(-0.485103); HLA-DPB1(-0.50565); IL12A(-0.545537); IL12B(-0.627472); PTPRN(-0.661921); CD86(-0.669894); HSPD1(-0.826842); 
KEGG_AUTOIMMUNE_THYROID_DISEASE	53	50	5.03661	5.1698	1.17169e-07	3.65276e-05	HLA-DRB1(4.31249); HLA-DQA1(4.05141); HLA-DRA(3.24383); HLA-B(2.80766); HLA-C(2.24317); IL2(1.5333); HLA-DQA2(1.53103); HLA-E(1.46025); TG(1.16116); IFNA6(0.870103); IL5(0.817658); HLA-DQB1(0.708976); IFNA8(0.681787); HLA-DMA(0.649646); HLA-DMB(0.645202); HLA-G(0.458157); HLA-A(0.444104); HLA-F(0.426953); TSHR(0.400862); IFNA21(0.359145); HLA-DOB(0.31108); IFNA4(0.310098); IFNA16(0.292407); IL4(0.289637); IFNA10(0.286742); IFNA7(0.284437); IFNA14(0.271172); HLA-DRB4(0.245085); IFNA17(0.233067); IFNA2(0.215732); HLA-DRB3(0.191903); IFNA13(0.184155); CD80(0.161864); IFNA1(0.105988); CGA(0.0685029); HLA-DOA(0.0128029); CTLA4(0.00221838); IFNA5(-0.00413047); PRF1(-0.0268675); HLA-DPA1(-0.071606); CD28(-0.11863); FASLG(-0.18886); GZMB(-0.249159); CD40(-0.260873); TSHB(-0.367235); FAS(-0.431352); IL10(-0.489542); HLA-DPB1(-0.50565); CD86(-0.669894); TPO(-1.01923); 
REACTOME_POTASSIUM_CHANNELS	98	97	4.9622	5.11319	1.58378e-07	3.94994e-05	KCNQ1(4.76635); KCNJ11(3.90211); ABCC8(3.60728); KCNQ3(2.86277); KCNS3(2.45263); KCNK7(2.09876); KCNN1(1.94706); KCNK3(1.81425); KCNQ5(1.79565); KCNJ2(1.7282); KCNC2(1.62001); KCNH6(1.39398); KCNC1(1.33264); KCNH1(1.31389); KCNN3(1.05739); KCNS1(1.00128); KCNC3(0.964279); KCNMB1(0.959659); KCNK10(0.957802); KCNA3(0.956019); KCNJ16(0.926462); KCNMB3(0.888893); KCNK1(0.821805); KCNJ12(0.7945); KCNS2(0.738216); KCNG1(0.72662); GNG2(0.704421); KCNJ3(0.658381); KCNK6(0.657918); KCNAB3(0.656929); GNGT2(0.634312); GABBR2(0.605602); KCNA2(0.592578); KCNN4(0.573649); KCNK4(0.506715); KCNJ5(0.444997); KCNJ1(0.441138); KCNJ6(0.431107); KCNF1(0.401953); ABCC9(0.382464); GABBR1(0.380531); KCNV2(0.349602); HCN3(0.32147); KCNV1(0.31853); GNG10(0.295593); GNB3(0.28953); KCNK9(0.275016); KCNH5(0.269711); KCNN2(0.177398); KCNH7(0.139089); KCNJ4(0.129755); KCNQ2(0.115187); HCN4(0.0984586); KCND3(0.0745432); KCNB2(0.0689642); KCNAB2(-0.00567709); KCNA6(-0.00741961); HCN1(-0.0215121); GNGT1(-0.0249133); KCNK16(-0.0393581); KCNK2(-0.0616264); KCNA1(-0.0663011); KCNA10(-0.0795702); KCNAB1(-0.0857483); KCNQ4(-0.119183); KCNA4(-0.140463); GNG5(-0.140509); KCND2(-0.156409); KCNH4(-0.176607); KCNK18(-0.202592); HCN2(-0.252445); KCNMB4(-0.26669); KCNJ15(-0.269653); KCNK13(-0.287369); KCNK17(-0.303406); KCNMB2(-0.372239); KCNB1(-0.409089); KCNG4(-0.410883); GNG7(-0.416436); KCNC4(-0.418644); KCNG3(-0.42621); KCNJ9(-0.436207); KCNH2(-0.507745); GNG3(-0.515991); KCNA5(-0.522534); KCNG2(-0.546655); GNG4(-0.627685); KCNA7(-0.694523); GNB2(-0.709362); KCNJ10(-0.730714); KCNH8(-0.736036); GNG8(-0.762539); KCNJ8(-0.769337); KCNH3(-0.805083); GNB1(-0.817714); GNG12(-0.882543); KCNJ14(-1.13402); 
KEGG_ASTHMA	30	28	4.71885	4.98651	3.07399e-07	6.38878e-05	HLA-DRB1(4.31249); HLA-DQA1(4.05141); TNF(3.33523); HLA-DRA(3.24383); HLA-DQA2(1.53103); PRG2(1.00537); CCL11(0.908817); IL5(0.817658); HLA-DQB1(0.708976); HLA-DMA(0.649646); HLA-DMB(0.645202); HLA-DOB(0.31108); IL4(0.289637); HLA-DRB4(0.245085); HLA-DRB3(0.191903); FCER1A(0.152984); IL9(0.072625); FCER1G(0.0226817); HLA-DOA(0.0128029); RNASE3(-0.0381408); HLA-DPA1(-0.071606); MS4A2(-0.114656); EPX(-0.121625); IL13(-0.252541); CD40(-0.260873); IL3(-0.44356); IL10(-0.489542); HLA-DPB1(-0.50565); 
KEGG_CELL_ADHESION_MOLECULES_CAMS	134	124	5.54098	4.72165	1.16972e-06	0.000208377	HLA-DRB1(4.31249); HLA-DQA1(4.05141); HLA-DRA(3.24383); HLA-B(2.80766); CD58(2.26802); HLA-C(2.24317); SDC2(2.03302); VCAM1(1.76152); NRXN3(1.75677); CDH2(1.56577); HLA-DQA2(1.53103); HLA-E(1.46025); NCAM2(1.45488); CDH5(1.30556); CLDN7(1.23298); PVRL2(1.22943); CDH4(1.1621); SDC4(1.05883); JAM3(1.00256); PECAM1(0.950238); ITGAL(0.911597); SPN(0.868192); JAM2(0.862622); CADM1(0.74792); ICOSLG(0.736393); HLA-DQB1(0.708976); HLA-DMA(0.649646); HLA-DMB(0.645202); NRXN1(0.611705); CNTNAP2(0.602094); ICAM3(0.594612); CNTN1(0.581755); ITGA4(0.564047); ITGAV(0.518723); CLDN18(0.500935); MPZ(0.477019); CD8A(0.476136); HLA-G(0.458157); HLA-A(0.444104); SELPLG(0.434163); HLA-F(0.426953); F11R(0.415499); PDCD1LG2(0.39658); MAG(0.3718); VCAN(0.361899); CD22(0.359857); ITGA6(0.349575); SELP(0.330705); HLA-DOB(0.31108); CDH3(0.302058); NFASC(0.286965); CD6(0.284826); PVRL3(0.2785); ITGA9(0.2725); HLA-DRB4(0.245085); ITGB8(0.238231); NEO1(0.198751); NLGN2(0.19727); CLDN11(0.194199); HLA-DRB3(0.191903); CD80(0.161864); CD4(0.149542); PTPRM(0.139107); ITGB2(0.117953); CLDN22(0.117887); CLDN1(0.0844474); CLDN8(0.0779582); CLDN23(0.0720041); ITGA8(0.0681786); CLDN5(0.0679672); CLDN15(0.0536962); CDH15(0.0391364); HLA-DOA(0.0128029); CTLA4(0.00221838); CNTN2(-0.01113); ICAM2(-0.0236814); CD8B(-0.0468904); CD274(-0.054069); HLA-DPA1(-0.071606); ITGB7(-0.0781546); PVR(-0.0830105); PTPRF(-0.0944667); CD28(-0.11863); CLDN19(-0.121154); CADM3(-0.140201); ICAM1(-0.142019); SDC3(-0.163219); CLDN14(-0.164167); NCAM1(-0.165889); CLDN16(-0.170992); NEGR1(-0.189991); CLDN20(-0.208522); CLDN17(-0.236791); CLDN4(-0.25514); CD40(-0.260873); SDC1(-0.275259); MPZL1(-0.280928); NLGN1(-0.309289); CDH1(-0.309323); PTPRC(-0.34449); CLDN10(-0.352935); CD276(-0.376584); CD226(-0.381783); CLDN3(-0.404329); ITGAM(-0.415914); CD34(-0.43245); ITGB1(-0.450603); MADCAM1(-0.452814); ESAM(-0.464541); NRXN2(-0.47295); NRCAM(-0.49477); CD2(-0.502697); HLA-DPB1(-0.50565); ALCAM(-0.552732); SIGLEC1(-0.568389); SELE(-0.634001); CD86(-0.669894); ICOS(-0.675673); CNTNAP1(-0.779021); CLDN9(-0.81742); CLDN6(-0.824643); SELL(-0.839582); PVRL1(-0.954067); GLG1(-1.1777); 
KEGG_GRAFT_VERSUS_HOST_DISEASE	42	38	4.90769	4.53804	2.83893e-06	0.000442518	HLA-DRB1(4.31249); HLA-DQA1(4.05141); TNF(3.33523); HLA-DRA(3.24383); HLA-B(2.80766); HLA-C(2.24317); IL2(1.5333); HLA-DQA2(1.53103); HLA-E(1.46025); HLA-DQB1(0.708976); HLA-DMA(0.649646); HLA-DMB(0.645202); IL6(0.621384); HLA-G(0.458157); HLA-A(0.444104); HLA-F(0.426953); HLA-DOB(0.31108); HLA-DRB4(0.245085); HLA-DRB3(0.191903); CD80(0.161864); HLA-DOA(0.0128029); PRF1(-0.0268675); HLA-DPA1(-0.071606); KIR3DL1(-0.106637); CD28(-0.11863); FASLG(-0.18886); IL1A(-0.232087); GZMB(-0.249159); FAS(-0.431352); IFNG(-0.446851); IL1B(-0.485103); HLA-DPB1(-0.50565); KLRD1(-0.51889); KIR3DL2(-0.623247); CD86(-0.669894); KIR2DL1(-0.710515); KLRC1(-0.986239); KIR2DL3(-1.6874); 
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	30	30	3.22215	4.21158	1.26795e-05	0.00175681	HNF1A(4.45469); HNF1B(3.98291); SLC2A2(1.63646); ONECUT1(1.30231); GCK(1.25049); PDX1(1.17129); IAPP(1.15818); NEUROG3(1.081); HNF4A(1.0316); AKT2(0.947394); NR5A2(0.879316); INS(0.84002); FOXO1(0.803782); FOXA3(0.760442); AKT3(0.573376); ONECUT3(0.477837); PKLR(0.346418); INSM1(0.089027); FGF10(0.0259924); RBPJ(-0.081855); PAX6(-0.106231); HES1(-0.164501); FOXA2(-0.312552); NKX2-2(-0.436052); PTF1A(-0.500114); MAFA(-0.575724); HNF4G(-0.606358); NEUROD1(-0.606445); AKT1(-0.790536); NKX6-1(-1.02104); 
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE	14	13	3.95467	4.05477	2.5092e-05	0.00312898	HLA-DRB1(4.31249); HLA-DQA1(4.05141); HLA-DQA2(1.53103); CD3D(1.13638); CD3G(1.10878); CD247(0.240604); HLA-DRB3(0.191903); CD4(0.149542); HLA-DPA1(-0.071606); CD3E(-0.2109); ZAP70(-0.297587); LCK(-0.408935); HLA-DPB1(-0.50565); 
